,,,,,,,,,,
Theme,Category,Function,Feature,Subscription Tier,Free Tier,TeamDesigner Tier,TeamOperator Tier,Enterprise Tier,Pricing page?,Docs
Kanvas,Textboxes,Delete textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to delete a textbox from canvas.",Free,,x,,x,,
Kanvas,Textboxes,Clone textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a textbox on canvas.",Free,,x,,x,,
Kanvas,Textboxes,Copy textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a textbox on canvas.",Free,,x,,x,,
Kanvas,Textboxes,Lock textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to lock a textbox on canvas.",,,x,,x,,
Kanvas,Textboxes,Add textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to add new textboxes on canvas.",,,x,,x,,
Kanvas,Textboxes,Configure textbox styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to configure the styles of textboxes present on canvas.",,,x,,x,,
Kanvas,Textboxes,Reset textbox styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to reset the styles of textboxes present on canvas.",,,x,,x,,
Kanvas,Sections,Delete sections,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to delete a section from canvas.",Free,,x,,x,,
Kanvas,Sections,Clone sections,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a section on canvas.",Free,,x,,x,,
Kanvas,Sections,Copy sections,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a section on canvas.",Free,,x,,x,,
Kanvas,Sections,Lock sections,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to lock a section on canvas.",,,x,,x,,
Kanvas,Sections,Add sections,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to add new sections on canvas.",,,x,,x,,
Kanvas,Sections,Configure section styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to configure the styles of sections present on canvas.",,,x,,x,,
Kanvas,Sections,Reset section styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to reset the styles of sections present on canvas.",,,x,,x,,
Kanvas,Design Patterns,Add text to textboxes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to add text to the textboxes currently on canvas.",Free,x,x,,,,
Kanvas,Design Patterns,Create dynamic fieldrefs,,Free,x,x,,,,
Kanvas,Design Patterns,Configure edge handles,,Free,x,x,,,,
Kanvas,Design Patterns,Delete edge handles,,Free,x,x,,,,
Kanvas,Design Patterns,Use heirarchical relationships,,Free,x,x,,,,https://docs.layer5.io/kanvas/concepts/relationships/#2-hierarchical-relationships
Kanvas,Design Patterns,Use inventory relationships,,Free,x,x,,,,
Kanvas,Design Patterns,Change design layout,"Like a Google Doc, Designs are a user's primary tool for collaborative authorship of their infrastructure and services. A Design describes all the resources and their properties that users wants for a single deployment based on Meshery’s declarative syntax. This permission grants the user the ability to change the layout of the components in the design.",Free,x,x,,,,
Kanvas,Design Patterns,Undo or Redo,This permission grants the user the ability to undo/redo any action in done in Kanvas,Team,x,x,,,x,
Kanvas,Design Patterns,Use Pencil,Pencil is mouse/tool mode available in Kanvas that allows users to draw freehand shapes. This permission grants user the ability to use the pencil mode in Kanvas.,Free,x,x,,,,
Kanvas,Design Patterns,Use Pen,Pen is a mouse/tool mode available in Kanvas that allows users to draw edges from one component to another. This permission grants user the ability to use the pencil mode in Kanvas.,Free,x,x,,,,
Kanvas,Design Patterns,Whiteboarding,"Ability to freeform draw any shapes, draw edges",Free,x,x,,,x,https://docs.layer5.io/kanvas/designer/whiteboarding/
Kanvas,Visual Design,Visual Design,"Drag-n-drop cloud native infrastructure designer to configure, model, and deploy your workloads",Free,x,x,,,x,
Kanvas,Meshery Model,Models,Generator for GCP via K8s CRDs,Free,x,x,,,,
Kanvas,Meshery Model,Models,Generator for AWS via K8s CRDs,Free,x,x,,,,
Kanvas,Kanvas actions,View help center,Help center houses various ways through which the users might try to learn more about the Kanvas and it's features or reach out through various channels for help. This permission grants the user the ability to view the help center and use it's features ,,,,,,,
Kanvas,Kanvas actions,Screenshot Canvas,The canvas is where the design and all it's components are displayed. This permission grants the user the ability to take a screenshot of the current state of canvas,,,,,,,
Kanvas,Kanvas actions,Configure visible layers,"Layers refer to the collection of various entities present on the canvas, for example, components, relationships, component badges, etc. This permission grants the user the ability to decide which entities to display/hide on the canvas.",,,,,,,
Kanvas,Design Patterns,Create blank design in Kanvas,The canvas is where the design and all it's components are displayed and configured. This permission grants the user the ability to remove all current entities from the canvas and create a new one to start from scratch ,TeamDesigner,,x,,x,,
Kanvas,Design Patterns,Save design in Kanvas,"Like a Google Doc, Designs are your primary tool for collaborative authorship of your infrastructure and services. A Design describes all the resources and their properties that you want for a single deployment based on Meshery’s declarative syntax. This permission grants the user the ability to save a design (while logged in)",TeamDesigner,,x,,x,,
Kanvas,Design Review,Collaborative Design Review,In-line commenting. Threaded discussions. Notifications w/user mentions. Silence notifications. Resolve and reopen comments. Comment history.,TeamDesigner,,x,,x,x,
Kanvas,Design Review,View comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to view comments in a design on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Resolve a comment,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to resolve a comment thread in a design on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Delete comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to delete a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Clone comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to clone a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Copy comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to copy a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Lock comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to lock a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Add comments,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to add a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Configure comment styles,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to configure the styles of a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Design Review,Reset comment styles,"Kanvas’s Designer enables users to place comments “inline” within designs. Comments can be used to offer feedback to team members, take detailed design notes, capture helpful tips for team members, and include justification as to infrastructure and application configuration decisions. This permission grants the user the ability to reset the styles of a comment on canvas.",TeamDesigner,,x,,x,,
Kanvas,Meshery Model,Models,Generator for Azure via K8s CRDs,Free,,,,,,
Kanvas,Operator,View Views,See all views withing a workspace,TeamOperator,,,x,x,,https://docs.layer5.io/kanvas/visualizer/visualizer-views/
Kanvas,Operator,Create View,Create a new view,TeamOperator,,,x,x,,
Kanvas,Operator,Delete View,Dissolve environment and all connection memberships. Leave associated resources intact.,TeamOperator,,,x,x,,https://docs.layer5.io/kanvas/visualizer/visualizer-views/#4-delete-a-view
Kanvas,Operator,Edit View,Edit environment and it connection membership,TeamOperator,,,x,x,,
Kanvas,Operator,Assign Views to Workspace,Add new views to workspace,TeamOperator,,,x,x,,
Kanvas,Operator,Unassign Views from Workspace,Remove views from workspace ,TeamOperator,,,x,x,,
Kanvas,Operator,Export views,Export views to JSON format,TeamOperator,,,x,x,,https://docs.layer5.io/kanvas/visualizer/visualizer-views/#5-export-a-view
Kanvas,Operator,View view component details,View detailed information about a view and it's comopnent,TeamOperator,,,x,x,,
Kanvas,Operator,Open view,Open a pre-existing view,TeamOperator,,,x,x,,
Kanvas,Operator,Save Views,Saved view,TeamOperator,,,x,x,,
Kanvas,Operator,Share Views,Share Views,TeamOperator,,,x,x,,https://docs.layer5.io/kanvas/visualizer/visualizer-views/#3-share-a-view
Kanvas,Operator,Clone Views,Clone Views,TeamOperator,,,x,x,,
Kanvas,Operator,Web-based Terminal,Direct terminal access to one ore more pods/containers simultaneously. Integrated experience.,TeamOperator,,,x,x,x,
Kanvas,Operator,Stream container logs,Stream and search logs from one or more pod/container simultaneously to observe application behavior and identify issues in real time.,TeamOperator,,,x,x,,
Kanvas,Operator,View Interactive Terminal,View Interactive Terminal,TeamOperator,,,x,,,
Kanvas,Operator,Standard Events and Metrics,Real-time resource metrics.,TeamOperator,,,x,x,x,
,,,,,,,,,,
Kanvas,Operator,View Component Details,View managed infrastructure resources details in Kanvas Operator,TeamOperator,,,x,x,,
Kanvas,Operator,View Observability Metrics,View real-time resource metrics in Kanvas Operator,TeamOperator,,,x,x,,
Kanvas,Operator,Perform conformance test,Perform a conformance test in Kanvas Operator,TeamOperator,,,x,x,,
Kanvas,Operator,Stream container logs,Stream container logs in Kanvas Operator,TeamOperator,,,x,x,,
Kanvas,Operator,Perform performance test in visualizer,Perform performance test in Kanvas Operator,TeamOperator,,,x,x,,
Kanvas,Operator,Select performance profile in visualizer,Select a performance profile to run tests using,TeamOperator,,,x,x,,
Offer Management,On-premise Deployments,Helm-based,Meshery Cloud,,,,,,,
Offer Management,On-premise Deployments,Helm-based,Postgres,,,,,,,
Offer Management,On-premise Deployments,Helm-based,Hydra,,,,,,,
Performance Management,Performance Tests,SMP Compatible Import / Export,,Free,,,,,,
Performance Management,Performance Profiles,Persistence of test results,Baseline and track your service mesh performance from release to release.,Free,,,x,x,,
Performance Management,Load Generation,Load Generator Interface: Common interface used as an extension point for supporting different types of load generators,,Free,,,x,x,,
Performance Management,Load Generation,Load Generation,Single Load Generator: Support testing multiple endpoints simultaneously.,Free,,,x,x,,
Performance Management,Load Generation,Distributed Load Generator,"Multiple Meshery Servers or Meshery Adapters generating load, collecting and coalescing results into a single report.",Team,,,x,x,,
Performance Management,Performance Profiles,"Define, name, and save performance profiles.",,Free,,,,,,
Performance Management,GitOps - Service Mesh performace Github action,"Integrate performance analysis as a gate in your GitOps pipeline, using performance profiles to run repeatable tests and avoid regression issues before they start. Configure this action to trigger with each of your releases, on every pull request. or any GitHub workflow trigger event",,Team,,,,,,
Performance Management,Service Mesh Interface Conformance Github actions,"Using Meshery as the offical SMI Conformance validation tool, configure this action to trigger with each of your releases, on every pull request. or any GitHub workflow trigger event.",,Team,,,,,,
Performance Management,Performance Profiles,Performance Profiles,Share performance profiles and test results with individual users or teams.,Team,,,,,,
Performance Management,Comparative Testing,Comparative Testing,Historical views: Infrastructure-centric,Free,,,,,,
Performance Management,Comparative Testing,Comparative Testing,Detect real-time anomalies.,Team,,,,,,
Performance Management,Performance Index,Exportable Report,,Free,,,,,,
Performance Management,Performance Index,Social Share,,Free,,,,,,
Performance Management,Continuous Quality of Service Monitoring,Continuous Quality of Service Monitoring,Experience uninterrupted oversight of your service quality with our Continuous Quality of Service Monitoring.,Free,,,,,,
Performance Management,Auto Tuning,Adaptive load control: optimize RPS,,Enterprise,,,,x,,
Performance Management,Auto Tuning,Adaptive load control: optimize Retries,,Enterprise,,,,x,,
Performance Management,Scheduling,Scheduling of tests,Schedule one-time or reoccurring performance tests.,Team,,,,,,
Performance Management,Scheduling,"Sophisticated, recurring schedules of performance tests, of configuration analyzers",,Team,,,,,,
Performance Management,Scheduling,Calendar Integration,Schedule tests from your calendar,Enterprise,,,,x,,
Performance Management,MeshMark,Listen and learn average request response time.,,Enterprise,,,,x,,
Performance Management,MeshMark,"Formula and measurement scale used to gauge service mesh performance in context of the value it’s providing, the environment and workloads it's running.",,Free,,,,,,
Performance Management,MeshMark,Ability to monitor signals defined in SMP and generate a MeshMark in real-time.,,Free,,,,,,
Performance Management,MeshMark,MeshMark,Identify the cost of a specific network function.,Free,,,,,,
Performance Management,Performance Test,Protocols: HTTP,,Free,,,,,,
Performance Management,Performance Test,Protocols: gRPC,,Free,,,,,,
Performance Management,Performance Test,Protocols: TCP,,Free,,,,,,
Performance Management,Performance Test,Duration,,Free,,,,,,
Performance Management,Performance Test,Multiple threads,,Free,,,,,,
Performance Management,Performance Test,"Default profiles to facilitate capacity, soak and other testing.",,Free,,,,,,
Performance Management,Performance Test,Comparison of two or more reports.,,Free,,,,,,
Performance Management,Performance Test,Persist in SMP format.,,Free,,,,,,
Performance Management,Performance Test,Export single or multiple results in SMP format.,,Free,,,,,,
Performance Management,Performance Test,Historical view.,,Free,,,,,,
Performance Management,Performance Results,"Analysis: latency, throughput.",,Free,,,,,,
Performance Management,Performance Results,Analysis: Threshold Settings - for pass/fail when integrated into CI pipelines.,,Free,,,,,,
Performance Management,Performance Results,Analysis: identification of opportunities to improve.,,Team,,,,,,
Performance Management,Performance Results,Analysis: Trend,,Team,,,,,,
Performance Management,Performance Results,Analysis: Anomaly detection,,Team,,,,,,
Performance Management,Distributed Performance Analysis,Analysis,Automatically suggest timeout settings for a given service.,Team,,,,,,
Performance Management,Distributed Performance Analysis,Analysis,Automatically suggest retry settings for a given service.,Team,,,,,,
Performance Management,Distributed Performance Analysis,Meshery Adapter for Nighthawk,Creation of Meshery Nighthawk Adapter. Refactoring of Nighhawk and decoupling it from Meshery container. Lifecycle management of adapter. Definition and registration of adapter capabilities.,Team,,,,,,
Performance Management,Distributed Performance Analysis,Distributed Tests,Allow users to identity Kubernetes clusters,Team,,,,,,
Performance Management,Distributed Performance Analysis,Performance Profiles,Storage of n result sets in Provider for a given Performance Profile.,Team,,,,,,
Performance Management,Extensibility,Support for injecting custom controllers,,Team,,,,,,
Performance Management,Distributed Performance Analysis,Support for multi SUT endpoint + mutli load generator,,Team,,,,,,
Performance Management,Distributed Performance Analysis,Coalesce of test results into central data sink,,Team,,,,,,
Performance Management,Performance,Add performace profile,Add a new performace profile,"TeamOperator, Enterprise",,,x,x,,
Performance Management,Performance,Run test,Run a test on performance profile,"TeamOperator, Enterprise",,,x,x,,
Performance Management,Performance,View Results,View results of performance tests,"TeamOperator, Enterprise",,,x,x,,
Performance Management,Performance,Edit performance test,Edit performance test,"TeamOperator, Enterprise",,,x,x,,
Performance Management,Performance,Delete performance test,Delete performance test,"TeamOperator, Enterprise",,,x,x,,
Performance Management,Performance,View performance profiles,View all performance profiles,"TeamOperator, Enterprise",,,x,x,,
Policy,Alert Management,Notification Suppression,,Free,,,x,x,,
Policy,Alert Management,Notification Correlation,,Team,,,x,x,,
Policy,Policies,Versioned,,Team,,,x,x,,
Policy,Audit Trail,Log of all actions invoked by users,,Free,,,x,x,,
Policy,RBAC Violations,Notification of attempts to invoke unauthorized actions,,,,,x,x,,
Policy,Open Policy Agent integration,Admission control for specific workloads on the mesh,,Free,,,x,x,,
Policy,Open Policy Agent integration,Service request authorization with JWT,,Free,,,x,x,,
Policy,Open Policy Agent integration,Performance Budget support in Patterns,,Free,,,x,x,,
Security Management,Overview,View Overview,,Free,x,x,x,x,,
Security Management,Credentials,View Credentials,,TeamOperator,,,x,x,,
Security Management,Credentials,Create Credential,,TeamOperator,,,x,x,,
Security Management,Credentials,Edit Credential,,TeamOperator,,,x,x,,
Security Management,Credentials,Delete Credential,,TeamOperator,,,x,x,,
Security Management,Sessions,View Sessions,,Free,x,x,x,x,,
Security Management,Sessions,Logout from a Session,,Free,x,x,x,x,,
Security Management,Tokens,View Tokens ,,Enterprise,,,,x,,
Security Management,Tokens,Download Token,,Enterprise,,,,x,,
Security Management,Tokens,Delete Token,,Enterprise,,,,x,,
Security Management,Tokens,Create Token,,Enterprise,,,,x,,
Security Management,Keys ,View Keys,,Enterprise,,,,x,,
Security Management,Keys ,Edit Key,,Enterprise,,,,x,,
Security Management,Keys,Delete Key,,Enterprise,,,,x,,
Security Management,Keychains,View Keychains,,Enterprise,,,,x,,
Security Management,Keychains,Create Keychain,,Enterprise,,,,x,,
Security Management,Keychains,Edit Keychain,,Enterprise,,,,x,,
Security Management,Keychains,Delete Keychain,,Enterprise,,,,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Manage cloud native infrastructure life cycle,"This permission grants the user the ability to manage infrastructure life cycles within meshery. Meshery allows users to visualize, work on and manage various cloud native technologies.",TeamOperator,,,x,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Manage cloud native infrastructure configuration,"Manage configuration for applications like EmojiVoto, HTTPBin, Image Hub, Istio Book Info",TeamDesigner,,x,,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Apply cloud native infrastructure configuration,"Configure infrastructure with some predefined options like Automatic Sidecar injection, Envoy Filter, Policy",TeamDesigner,,x,,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Validate cloud native infrastructure configuration,"Validate cloud native infrastructure  configuration against best practices like Analyze Running Configuration, SMI conformance",TeamDesigner,,x,,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Apply custom cloud native configuration,This permission grants the user the ability to apply custom configuration and customize existing configuration of thier cloud native infrastructure,TeamOperator,,,x,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Deploy cloud native infrastructure,"This permission grants the user the ability to deploy their infrastructure to a cluster through Meshery. Meshery allows users to visualize, work on and manage various cloud native technologies",TeamOperator,,,x,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,Undeploy cloud native infrastructure,"This permission grants the user the ability to undeploy their infrastructure from a cluster through Meshery. Meshery allows users to visualize, work on and manage various cloud native technologies",TeamOperator,,,x,x,,
Infrastructure Management,Cloud native infrastructure lifecycle,View cloud native infrastructure,"This permission grants the user the ability to view all cloud native infrastructure in Meshery. Meshery allows users to visualize, work on and manage various cloud native technologies.",TeamOperator,,,x,x,,
Workspace Management,Workspace,View Workspace,See all workspaces within an organization,Free,x,x,x,x,,
Workspace Management,Workspace,Delete Workspace,Dissolve workspace and all team and environment memberships. Leave associated resources intact,Free,x,x,x,x,,
Workspace Management,Workspace,Edit Workspace,Edit workspace and it's team and environment membership,Free,x,x,x,x,,
Workspace Management,Workspace,Create Workspace,Create new workspace,Free,x,x,x,x,,
Workspace Management,Workspace,Assign team to workspace,Add new team to workspace,Free,x,x,x,x,,
Workspace Management,Workspace,Remove team from workspace,Remove team from workspace,Free,x,x,x,x,,
Workspace Management,Workspace,Assign environment to workspace,Add new environment to workspace,Free,x,x,x,x,,
Workspace Management,Workspace,Remove environment from workspace,Remove environment from workspace,Free,x,x,x,x,,
Workspace Management,Workspace,Assign Designs to Workspaces,Assign designs to workspaces,Free,x,x,x,x,,
Workspace Management,Workspace,Remove Designs from Workspaces,Remove designs from workspaces,Free,x,x,x,x,,
Workspace Management,Workspace,Connect Google Account to Workspace,,Enterprise,x,x,x,x,,
Workspace Management,Workspace,Connect Github Account to Workspace,,Enterprise,,,,x,,
Workspace Management,Connections,View Connections,View all connections within an environment,Free,,,,x,,
Workspace Management,Environments,View Environment,See all environments within an workspace.,Enterprise,,,x,x,,
Workspace Management,Environments,Create Environment,Create a new environment,Enterprise,,,x,x,,
Workspace Management,Environments,Delete Environment,Dissolve environment and all connection memberships. Leave associated resources intact.,Enterprise,,,x,x,,
Workspace Management,Environments,Edit Environment,Edit environment and it connection membership,Enterprise,,,x,x,,
Workspace Management,Environments,Assign connections to environment,Add new connections to environments,Enterprise,,,x,x,,
Workspace Management,Environments,Remove connections from environments,"Remove connections from environment, ",Enterprise,,,x,x,,
Catalog Management,Catalog,View Catalog,View all items in catalog,Free,x,x,x,x,,
Catalog Management,Catalog,Delete Catalog Items,Delete catalog items,,,,,,,
Catalog Management,Catalog,Edit Catalog Items,Edit catalog items,,,,,,,
Catalog Management,Catalog,Unpublish Catalog Items,Unpublish items from catalog,,,,,,,
Catalog Management,Catalog,Details of Catalog Item,Set item information or details of a catalog item,,,,,,,
Catalog Management,Catalog,Download Catalog Item,Download a catalog item,,,,,,,
Catalog Management,Catalog,Clone Catalog Item,Clone any item from catalog,,,,,,,
Academy Management,Academy,View Academy,View academy and it's content,,,,,,,
Academy Management,Learning Path,View Learning Paths,View all learning paths,,,,,,,
Academy Management,Challenges,View Challenges,View all challenges,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Support and Deployment,Enterprise API,Webhooks,Layer5 Cloud uses webhooks to automate approval flows and email notifications. This guide will help you customize and add your own custom webhooks.,Enterprise,,,,,,
Support and Deployment,Enterprise API,Enterprise API,"Provides a powerful and flexible way to interact with the platform, enabling automation, integration, and customization to optimize your cloud native development and management processes.",Enterprise,,,,,,
,,,,,,,,,,
Support and Deployment,White Label,White Label,Customize the appearance and branding of your engineering platform powered by Layer5 Cloud.,Enterprise,,,,,,
Support and Deployment,Community Support,Community Support,Get help with most of your Meshery questions and issues in our Community Forum.,Free,,,,,,
Support and Deployment,Standard Support,Standard Support,Layer5 Support can help you troubleshoot issues you run into while using Meshery. Get support via the web.,TeamDesigner,,,,,,
Support and Deployment,Premium and Premium Plus Support,Premium and Premium Plus Support,"With Premium, get a 30-minute SLA and 24/7 web and phone support. With Premium Plus, get everything in Premium plus your own Support Account Manager and more.",Enterprise,,,,,,
Support and Deployment,Self-hosted Deployment,Self-hosted Deployment,Self-hosted Layer5 Cloud for on-prem appliances or self-managed cloud tenants. Keep your Kanvas designs internal to your workplace. Get remote support from Layer5 when you need it.,Enterprise,,,,,,
Support and Deployment,Phone Support,Phone Support,Layer5 Support can help you troubleshoot issues you run into while using Meshery. Get support via phone.,TeamDesigner,,,,,,
Support and Deployment,Invoice Billing,"Pay bills via invoice, rather than using your credit card.",,Enterprise,,,,,,
,,,,,,,,,,
Traffic Management,Traffic Capture,Facilitate a network tap of any request traffic.,,Free,,,,,,
Traffic Management,Traffic Configuration,Visual definitions of traffic rules,,Free,,,,,,
Traffic Management,Traffic Filters,Dynamic load / unload of wasm filters,,Free,,,,,,
Traffic Management,Traffic Filters,Configuration of wasm filters,,Free,,,,,,
Traffic Management,Feature flagging,via wasm filter,,Enterprise,,,,,,
Traffic Management,Canary Rollout,Flagger integration,,Free,,,,,,
Traffic Management,Canary Rollout,Argo integration,,Free,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Application Management,Client Library Migration,Golang (native exponential backoff),,Enterprise,,,,,,
Application Management,Client Library Migration,GoKit,,Enterprise,,,,,,
Application Management,Client Library Migration,Spring Boot,,Enterprise,,,,,,
Application Management,Client Library Migration,Hystrix,,Enterprise,,,,,,
Application Management,Client Library Migration,,,Enterprise,,,,,,
Application Management,Workload Onboarding,,,,,,,,,
Application Management,Workload Onboarding,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Configuration Management,Best Practices Analyzer,Open list of best practices for Istio,Open list of best practices for Istio,Free,,,,,,
Configuration Management,Best Practices Analyzer,Proprietary list of best practices for Istio,Proprietary list of best practices for Istio,Team,,,,,,
Configuration Management,Pattern Support: Istio,VirtualService,VirtualService,Free,,,,,,
Configuration Management,Pattern Support: Istio,DestinationRule,DestinationRule,Free,,,,,,
Configuration Management,Pattern Support: Istio,mTLS (PeerAuthentication),mTLS (PeerAuthentication),Free,,,,,,
Configuration Management,Pattern Support: Istio,Automatic Sidecar Injection on a Namespace,Automatic Sidecar Injection on a Namespace,Free,,,,,,
Configuration Management,Pattern Support: Istio,Sidecars,Sidecars,Free,,,,,,
Configuration Management,Pattern Support: Istio,AuthorizationPolicy,AuthorizationPolicy,Free,,,,,,
Configuration Management,Pattern Support: Istio,EnvoyFilters,EnvoyFilters,Free,,,,,,
Configuration Management,Pattern Support: Istio,PeerAuthentication,PeerAuthentication,Free,,,,,,
Configuration Management,Pattern Support: Istio,Istio Operator,Istio Operator,Free,,,,,,
Configuration Management,Pattern Support: Istio,,,Free,,,,,,
Configuration Management,Pattern Support: Istio,Ingress Gateway (Gateways),Ingress Gateway (Gateways),Free,,,,,,
Configuration Management,Pattern Support: Istio,Egress Gateway (Gateways),Egress Gateway (Gateways),Free,,,,,,
Configuration Management,Pattern Support: Istio,Add-on: Prometheus,Add-on: Prometheus,Free,,,,,,
Configuration Management,Pattern Support: Istio,Add-on: Kiali,Add-on: Kiali,Free,,,,,,
Configuration Management,Pattern Support: Istio,Add-on: Grafana,Add-on: Grafana,Free,,,,,,
Configuration Management,Pattern Support: Istio,Add-on: Zipkin,Add-on: Zipkin,Free,,,,,,
Configuration Management,Pattern Support: Istio,Add-on: Jaeger,Add-on: Jaeger,Free,,,,,,
Configuration Management,Pattern Support: Istio,Custom Configuration,Custom Configuration,Free,,,,,,
Configuration Management,Pattern Support: Kubernetes,Ingress,Ingress,Free,,,,,,
Configuration Management,Multi-Mesh,Canary Rollout,Canary Rollout,Free,,,,,,
,,,,,,,,,,
Workflow Management,Alert Integration,,,Team,,,,,,
Workflow Management,Auto-scaling,,,Free,,,,,,
Workflow Management,Change Management,Single and multiple approvers,,Team,,,,,,
Workflow Management,Change Management,,,Team,,,,,,
,,,,,,,,,,
